Species,Region,Pollution_Level,Illegal_Wildlife_Trade_Rate,Food_Availability,Human_Population_Density,Species_Reproduction_Rate,Climate_Change_Impact,Protected_Area_Presence,Invasive_Species_Presence,Extinction_Risk
Hawksbill Turtle,Oceania,70.36,62.73,26.33,18.21,2.3,77.36,1,1,0
Giant Panda,Middle East,59.7,38.85,5.41,29.18,1.51,90.05,1,1,0
Galapagos Penguin,Southeast Asia,80.58,42.49,48.74,33.01,1.62,79.2,0,1,0
Giant Panda,South America,74.94,70.21,32.82,1.39,1.92,72.98,0,0,0
Kakapo,South Asia,84.07,47.86,44.05,42.25,2.12,69.04,1,1,1
Javan Rhino,South America,88.14,50.39,18.21,43.53,2.48,79.32,1,0,0
Bengal Tiger,South Asia,87.46,47.72,12.41,12.02,2.02,85.87,0,1,1
Mountain Gorilla,North America,67.86,64.73,67.87,53.54,2.6,91.87,1,0,0
Galapagos Penguin,East Asia,62.03,65.23,22.96,25.47,1.75,89.17,1,0,1
Red Panda,Sub-Saharan Africa,67.68,64.47,82.8,14.16,1.81,87.89,0,0,0
Giant Panda,Europe,50.83,50.35,18.09,11.26,1.89,78.65,0,0,0
Hellbender Salamander,North America,85.44,38.66,36.7,41.62,1.71,90.82,1,0,0
Blue Whale,Central Asia,50.02,75.03,28.64,19.22,2.41,72.25,0,1,1
Snow Leopard,Central Asia,81.87,61.13,24.17,35.56,1.03,78.32,0,0,1
California Condor,Central Asia,77.27,44.06,11.35,10.96,1.82,43.71,1,1,0
Snow Leopard,North America,63.51,68.51,11.01,23.11,2.4,80.92,0,0,1
Pangolin,Sub-Saharan Africa,96.27,43.04,39.8,39.73,1.89,82.77,0,0,1
Hellbender Salamander,Middle East,84.47,68.34,53.03,62.46,2.38,74.29,0,0,0
Axolotl,Southeast Asia,78.85,69.22,25.13,67.04,2.77,68.41,1,0,1
Axolotl,South America,81.18,38.02,30.9,61.62,2.03,78.68,1,1,0
Vaquita,South America,71.69,57.56,47.08,136.65,2.41,85.09,1,0,1
Giant Panda,Europe,72.53,60.17,11.62,35.96,2.85,35.76,0,1,1
Axolotl,Middle East,39.99,83.99,67.66,10.66,2.14,80.91,1,1,0
Whooping Crane,South America,84.08,40.35,59.42,18.57,1.98,66.78,0,1,1
African Elephant,Middle East,54.01,68.62,53.2,65.82,2.32,87.14,1,1,1
Whooping Crane,East Asia,90.25,50.23,6.01,16.62,2.41,84.13,1,0,1
Amur Leopard,Middle East,67.99,33.86,23.57,0.88,1.99,78.64,1,1,0
Pangolin,Central Asia,66.99,48.44,20.64,23.79,1.83,48.47,1,0,0
Mountain Gorilla,Sub-Saharan Africa,80.4,50.03,2.03,52.79,2.6,88.18,0,1,1
Iberian Lynx,Central Asia,73.65,36.23,3.91,18.27,1.91,57.23,0,1,0
Mountain Gorilla,South America,71.24,54.06,9.02,68.03,2.42,80.73,1,0,1
Blue Whale,Europe,54.47,62.45,18.29,97.2,2.09,84.61,0,0,0
Sea Otter,Europe,67.5,53.1,17.75,35.34,2.64,76.36,0,0,1
Bengal Tiger,South America,72.81,42.96,55.53,108.64,1.7,96.51,0,0,1
Saola,North America,72.49,48.07,1.07,81.34,1.7,81.9,0,0,1
Axolotl,South America,84.24,49.94,50.27,53.94,2.3,90.92,1,0,1
Giant Panda,South America,61.19,52.83,6.13,38.85,1.6,64.5,1,1,1
Orangutan,Sub-Saharan Africa,66.44,64.43,14.57,36.38,2.04,84.59,1,0,1
Black Rhino,North America,39.47,53.54,41.1,27.87,2.54,49.86,0,1,0
Kakapo,North America,60.29,31.76,11.22,44.61,1.38,42.04,1,1,0
Hellbender Salamander,Middle East,40.44,42.69,6.73,3.98,2.14,80.21,1,1,1
Asian Elephant,North America,67.57,52.16,10.89,83.79,2.42,71.23,0,1,1
Mountain Gorilla,North America,91.49,64.61,18.58,109.9,1.99,72.26,1,0,1
Snow Leopard,North America,88.59,66.87,34.37,3.62,1.68,71.06,0,0,1
Bengal Tiger,South America,88.35,73.07,45.52,51.68,1.91,51.9,1,0,1
Axolotl,Southeast Asia,67.66,51.7,10.06,79.31,1.71,93.75,1,0,1
Giant Panda,Central Asia,73.29,59.92,46.05,32.84,2.02,69.92,0,1,0
Hawksbill Turtle,Oceania,91.17,31.09,29.62,26.8,1.9,89.59,1,0,0
Sumatran Tiger,Southeast Asia,68.49,55.59,3.86,22.34,1.82,96.3,1,0,1
Sumatran Tiger,North America,76.15,36.02,23.23,19.02,2.16,87.74,0,0,0
Asian Elephant,Oceania,62.16,49.19,43.94,37.59,2.55,83.81,0,0,1
Blue Whale,North America,82.82,89.39,33.92,67.66,2.11,90.07,1,1,1
Iberian Lynx,East Asia,61.74,53.95,44.69,4.52,2.47,92.68,0,1,1
Iberian Lynx,South Asia,84.49,38.77,28.07,12.98,2.55,95.24,0,1,0
Mountain Gorilla,Central Asia,66.64,55.3,57.53,17.91,1.79,87.53,1,0,0
Pangolin,Sub-Saharan Africa,89.04,43.28,14.29,7.27,2.1,95.54,0,0,1
Pangolin,East Asia,55.82,37.51,30.72,47.76,3.86,82.61,1,0,0
Vaquita,South Asia,46.47,77.34,38.6,43.32,1.48,56.2,0,0,1
Sea Otter,Southeast Asia,68.46,63.87,58.86,56.25,2.12,66.25,1,0,0
Kakapo,Middle East,84.75,54.49,14.16,2.84,5.29,89.69,1,1,0
Pangolin,Oceania,61.66,44.91,7.52,51.6,2.17,81.81,1,1,0
Sea Otter,South Asia,74.72,45.96,33.2,67.39,1.46,88.32,1,0,0
Galapagos Penguin,South Asia,58.92,70.05,6.44,48.44,2.06,25.22,1,1,0
Axolotl,Oceania,83.35,53.99,44.13,30.86,1.45,92.05,0,1,0
Blue Whale,Sub-Saharan Africa,88.59,9.92,19.86,27.61,2.24,63.5,0,1,0
Sea Otter,South America,71.46,81.47,11.82,40.37,1.86,89.68,0,1,1
Javan Rhino,South Asia,49.58,52.38,56.82,36.97,1.83,69.48,0,1,0
Hellbender Salamander,North America,72.39,54.46,25.09,18.38,2.39,54.59,0,0,1
Giant Panda,South America,86.23,64.13,37.41,3.17,1.89,66.25,1,0,0
Amur Leopard,South Asia,57.83,56.05,4.55,20.66,2.04,70.14,1,1,0
California Condor,Oceania,81.9,59.71,70.31,101.53,1.93,75.96,1,1,1
Red Panda,Oceania,87.12,44.49,19.47,3.83,2.18,65.89,0,0,0
California Condor,Europe,26.75,34.01,14.7,36.52,2.37,93.03,0,1,0
Snow Leopard,South Asia,71.79,53.64,25.87,85.8,2.29,80.4,1,0,0
Snow Leopard,South America,63.29,68.61,66.21,57.22,1.84,70.35,0,0,1
Galapagos Penguin,Oceania,87.95,41.58,23.21,63.48,2.42,49.44,1,1,1
Black Rhino,Europe,76.45,40.54,47.26,58.6,1.68,74.19,0,0,0
Pangolin,Oceania,71.64,65.87,3.39,7.36,1.74,45.14,1,1,0
Amur Leopard,Central Asia,84.22,44.06,2.64,75.6,1.96,41.76,1,0,1
Amur Leopard,East Asia,85.87,44.66,45.58,82.94,2.37,95.4,0,0,1
California Condor,Sub-Saharan Africa,91.03,45.15,15.11,9.9,1.59,81.66,0,1,1
African Elephant,Middle East,76.46,49.16,23.54,22.18,2.31,65.93,0,1,0
Galapagos Penguin,East Asia,58.5,29.54,67.49,33.21,1.98,91.75,1,0,0
Whooping Crane,East Asia,87.49,42.99,19.25,22.41,1.85,80.65,1,0,0
Kakapo,Central Asia,71.08,52.99,43.09,17.01,2.38,55.98,1,1,0
Vaquita,Central Asia,85.28,52.9,15.17,17.36,1.72,90.37,1,1,1
Mountain Gorilla,North America,63.37,65.05,27.32,51.48,2.8,47.18,1,0,0
Javan Rhino,Central Asia,62.93,73.91,4.2,62.16,1.94,70.24,0,1,1
Saola,Oceania,59.45,69.66,50.29,17.43,2.05,68.89,0,0,1
Giant Panda,Europe,79.32,61.89,49.27,61.88,2.54,80.09,0,1,1
Black Rhino,Sub-Saharan Africa,72.31,48.07,50.57,22.33,2.06,74.1,1,1,0
Hellbender Salamander,Oceania,81.03,41.9,4.74,10.56,2.42,38.14,0,0,1
Blue Whale,Europe,83.34,50.23,41.18,39.64,1.32,91.94,1,0,1
Mountain Gorilla,South Asia,66.38,57.61,45.08,32.07,1.85,67.13,0,0,1
Javan Rhino,East Asia,64.77,60.69,9.7,40.75,2.14,76.62,0,1,0
Mountain Gorilla,East Asia,72.8,58.1,35.19,40.26,2.38,89.31,1,1,1
Whooping Crane,Middle East,84.13,48.42,35.68,37.23,5.08,81.12,0,0,1
Sumatran Tiger,South America,93.12,60.23,0.54,29.29,2.24,70.23,1,0,0
Hellbender Salamander,Europe,54.38,66.39,13.52,60.92,2.37,95.62,0,1,1
Whooping Crane,Middle East,95.98,61.44,23.04,48.75,2.17,57.08,0,1,1
Blue Whale,Southeast Asia,84.47,49.58,8.88,22.97,1.25,47.65,0,0,0
Hawksbill Turtle,Europe,59.47,39.16,2.79,22.51,2.5,68.27,0,0,1
Black Rhino,Europe,67.15,38.85,28.63,6.7,1.71,82.44,0,1,0
Saola,Sub-Saharan Africa,57.42,41.14,4.1,7.86,2.11,83.7,0,0,0
Sumatran Tiger,Southeast Asia,71.28,53.34,15.47,27.7,2.06,92.85,0,1,0
Sea Otter,Europe,88.9,56.76,68.98,55.65,2.02,78.2,0,0,1
Kakapo,East Asia,89.72,31.61,2.82,15.01,1.61,88.05,1,0,1
Sumatran Tiger,South Asia,45.46,43.45,35.94,50.32,1.32,78.25,1,1,0
Kakapo,East Asia,48.87,53.16,14.42,36.25,1.65,60.59,0,0,0
Vaquita,South America,63.83,38.3,12.73,15.86,2.29,75.28,1,0,0
Amur Leopard,East Asia,66.76,55.64,32.42,32.98,1.49,32.43,0,0,0
Red Panda,Middle East,82.6,46.0,13.65,32.02,1.69,76.91,0,0,1
African Elephant,South America,40.66,40.6,25.56,16.47,2.15,68.36,1,0,0
Sea Otter,Sub-Saharan Africa,78.06,50.69,52.04,47.99,1.64,55.42,0,1,0
Kakapo,East Asia,94.09,55.1,63.68,59.42,1.81,79.93,1,1,1
Sea Otter,East Asia,97.58,38.97,34.66,24.64,2.03,56.35,1,0,0
Pangolin,East Asia,83.55,46.85,32.57,11.54,2.1,83.93,1,1,0
Galapagos Penguin,Southeast Asia,49.51,56.08,19.63,61.4,1.63,35.31,0,1,0
California Condor,East Asia,65.85,40.09,15.13,7.35,2.05,82.66,1,0,0
Axolotl,East Asia,62.0,28.45,12.44,38.61,2.14,59.9,0,0,0
Saola,North America,74.86,30.02,7.07,14.99,1.55,86.35,1,1,1
African Elephant,Oceania,94.83,44.57,19.41,10.64,2.08,83.4,0,1,1
Galapagos Penguin,South Asia,76.11,32.86,6.52,20.26,1.75,71.55,0,1,1
Whooping Crane,North America,68.36,45.48,23.34,31.99,2.04,69.24,1,0,0
Javan Rhino,South Asia,28.76,71.64,25.17,12.86,2.25,69.81,1,1,0
Sumatran Tiger,South Asia,88.16,32.08,9.78,9.02,1.94,72.05,0,1,0
Sumatran Tiger,North America,80.25,46.33,15.84,5.19,2.32,47.73,0,0,0
Galapagos Penguin,Middle East,69.51,77.72,12.29,85.84,2.28,73.66,0,0,1
Red Panda,Europe,57.2,55.31,29.93,40.89,2.32,77.37,1,1,0
African Elephant,Sub-Saharan Africa,44.77,45.22,41.45,15.96,2.14,52.12,0,1,0
Snow Leopard,South Asia,63.42,47.96,14.33,42.37,2.39,56.81,0,0,0
Hawksbill Turtle,Central Asia,80.37,55.58,20.79,31.75,2.13,73.43,0,0,1
Amur Leopard,Oceania,87.94,72.05,30.39,51.57,1.42,75.63,1,1,1
Sea Otter,Oceania,48.44,43.1,4.22,26.22,1.72,64.06,0,0,0
Saola,Europe,88.33,40.15,36.31,58.07,1.93,72.12,0,1,1
Snow Leopard,Central Asia,70.03,32.08,8.04,18.0,1.97,88.21,1,0,0
Hawksbill Turtle,Central Asia,50.78,51.34,4.0,36.03,2.13,60.36,1,1,0
Hellbender Salamander,South Asia,61.94,31.73,21.02,55.58,1.72,85.42,0,1,0
Hellbender Salamander,Southeast Asia,90.0,43.97,50.86,37.35,2.7,92.28,0,0,1
Vaquita,North America,65.21,38.19,20.82,103.74,1.96,45.62,0,0,1
Asian Elephant,Oceania,20.69,63.96,16.5,50.89,2.0,91.71,1,0,0
Javan Rhino,Middle East,84.21,43.39,48.48,41.86,1.77,70.37,1,1,0
California Condor,South Asia,41.0,55.16,13.12,23.33,1.65,88.57,1,0,0
Whooping Crane,Southeast Asia,52.2,29.15,12.98,36.6,1.96,58.21,1,0,0
Iberian Lynx,South Asia,61.42,51.71,7.63,69.76,2.01,60.66,0,1,0
Vaquita,North America,86.33,34.36,34.49,20.99,1.97,80.42,1,1,1
Iberian Lynx,East Asia,77.59,44.47,51.86,14.53,2.58,93.93,1,0,1
Orangutan,Oceania,85.74,78.75,69.27,21.09,1.96,80.81,1,0,1
Black Rhino,Middle East,66.62,62.12,24.04,20.18,1.97,60.26,0,1,0
Iberian Lynx,Middle East,63.17,48.33,8.89,46.04,2.29,77.05,1,1,0
Axolotl,South Asia,77.71,91.59,27.81,95.77,1.94,96.11,0,0,1
Axolotl,Middle East,69.84,38.1,12.02,7.72,2.19,74.8,0,1,1
Vaquita,Southeast Asia,66.77,65.15,54.72,32.43,1.55,81.26,0,1,1
Amur Leopard,East Asia,89.14,30.08,17.51,12.92,3.83,89.09,1,0,0
Snow Leopard,East Asia,75.71,46.83,21.24,39.81,2.04,59.82,1,0,0
Iberian Lynx,Middle East,81.08,32.48,41.26,43.25,1.92,94.24,0,0,1
Axolotl,Oceania,79.97,53.34,22.35,20.25,1.72,60.73,0,0,0
California Condor,South America,90.6,50.73,53.73,46.95,2.04,46.33,0,1,0
Red Panda,North America,74.43,46.0,22.29,17.55,2.07,76.79,1,0,0
Saola,South Asia,84.98,64.2,52.92,17.53,1.75,81.69,0,0,1
Bengal Tiger,Southeast Asia,88.69,42.63,31.62,15.31,1.82,83.99,1,0,1
Mountain Gorilla,East Asia,53.77,54.25,36.53,21.28,2.08,95.69,0,0,1
Black Rhino,South Asia,93.59,60.67,71.94,30.07,1.64,90.2,0,1,1
Vaquita,Southeast Asia,49.09,30.72,4.78,27.58,1.79,88.53,0,0,1
Vaquita,Middle East,88.56,40.27,11.07,34.67,2.19,85.42,0,0,0
Vaquita,Sub-Saharan Africa,70.26,50.7,19.2,45.26,1.99,59.45,0,0,1
Galapagos Penguin,South Asia,95.68,58.19,32.77,35.01,1.83,65.36,0,0,1
Giant Panda,Southeast Asia,70.65,68.48,32.77,84.73,1.68,84.08,1,1,1
Black Rhino,South Asia,73.04,47.19,3.26,31.73,1.65,97.74,0,0,0
Mountain Gorilla,Middle East,88.77,45.89,10.63,52.78,1.95,52.86,1,0,1
Orangutan,Middle East,72.14,38.66,29.69,6.68,2.71,80.15,1,0,0
Javan Rhino,Southeast Asia,88.27,54.29,40.19,34.67,2.2,60.96,0,0,1
Bengal Tiger,South Asia,96.28,46.14,40.04,27.34,1.53,76.79,0,1,1
Black Rhino,Southeast Asia,97.52,46.44,14.22,25.44,2.25,54.56,1,0,1
Snow Leopard,South America,85.2,48.78,4.59,68.81,1.73,86.02,1,1,0
California Condor,South Asia,50.15,57.17,30.23,106.42,2.0,83.14,0,0,0
Sea Otter,Europe,69.19,42.67,12.69,45.6,1.79,78.3,1,0,0
Blue Whale,South America,31.14,39.96,37.2,5.11,2.71,75.14,0,1,1
Mountain Gorilla,North America,73.11,55.61,4.22,19.39,4.08,77.88,0,1,1
African Elephant,Southeast Asia,76.51,10.67,63.14,7.96,2.11,87.27,1,1,1
Saola,North America,18.69,42.15,6.1,34.0,1.76,93.17,1,1,0
Sea Otter,East Asia,47.02,35.03,16.45,41.51,2.26,69.25,1,1,1
Axolotl,South Asia,79.68,65.64,5.53,6.08,2.1,53.62,1,1,1
Whooping Crane,Sub-Saharan Africa,47.48,44.27,42.62,77.15,2.44,67.95,0,0,0
Black Rhino,Oceania,75.74,42.71,26.13,10.49,2.25,54.39,1,1,1
Blue Whale,Southeast Asia,76.3,49.37,15.55,40.12,1.76,87.69,1,0,0
Saola,Oceania,74.78,42.26,23.94,76.02,3.02,94.0,0,0,1
Hawksbill Turtle,Oceania,76.21,44.77,20.07,34.49,2.19,52.43,0,0,1
Hellbender Salamander,North America,91.21,51.26,17.92,16.62,1.81,71.74,1,1,1
Mountain Gorilla,Europe,61.7,44.51,11.74,15.78,2.07,46.41,0,1,0
Saola,Southeast Asia,91.99,44.42,45.0,35.19,2.22,95.38,1,0,0
Pangolin,Middle East,55.68,36.87,3.75,52.85,2.21,46.46,1,1,1
Bengal Tiger,South America,87.27,35.0,25.46,39.1,2.17,88.96,1,1,1
Saola,South America,75.06,50.79,6.34,15.47,2.34,84.14,0,1,1
Saola,Middle East,51.87,53.99,75.34,26.82,2.3,39.37,1,1,0
Blue Whale,Middle East,39.14,31.43,22.83,13.65,1.7,62.12,1,1,0
Giant Panda,South America,84.97,59.88,35.1,13.51,2.74,66.95,1,0,0
Bengal Tiger,South Asia,70.97,59.93,4.68,12.87,2.69,69.59,1,0,1
Snow Leopard,East Asia,70.99,62.67,23.49,22.34,2.28,81.19,1,1,1
Red Panda,South America,79.0,53.9,10.07,29.07,2.01,76.29,0,1,1
African Elephant,Sub-Saharan Africa,77.46,58.28,35.71,31.73,2.02,65.17,0,0,0
California Condor,Sub-Saharan Africa,87.54,78.41,3.61,37.6,1.89,72.14,0,1,0
Blue Whale,East Asia,78.12,46.08,71.51,16.26,1.93,70.72,1,1,0
Kakapo,Sub-Saharan Africa,90.83,36.41,22.81,29.54,1.23,76.82,0,0,1
Kakapo,South Asia,56.09,30.06,3.37,32.38,2.54,75.27,0,1,0
Red Panda,Europe,67.15,72.82,16.5,64.71,2.41,30.47,1,0,0
Whooping Crane,Oceania,64.45,72.99,18.77,6.3,1.41,80.97,1,1,0
African Elephant,South America,51.04,37.98,33.87,8.33,2.31,78.11,1,1,0
Hawksbill Turtle,Europe,94.03,40.54,43.1,43.97,2.0,73.95,0,0,1
Blue Whale,Europe,71.88,45.79,47.44,47.29,1.93,89.36,0,0,1
Giant Panda,Middle East,58.77,65.92,24.8,44.1,2.17,77.45,1,0,1
Orangutan,Middle East,54.24,33.27,16.54,43.78,1.39,86.02,1,0,0
Orangutan,Southeast Asia,73.64,24.43,10.29,6.99,2.0,84.93,1,1,1
Galapagos Penguin,South America,34.37,78.18,35.82,95.88,2.03,86.06,0,0,0
Orangutan,Oceania,68.27,54.06,25.71,59.79,2.03,84.17,1,1,1
Sumatran Tiger,South Asia,59.18,55.91,29.32,7.1,1.52,97.8,1,1,0
Galapagos Penguin,Central Asia,65.35,47.33,14.45,24.13,2.16,91.07,0,0,1
Whooping Crane,Sub-Saharan Africa,51.02,56.06,69.09,23.06,2.37,56.08,1,1,1
African Elephant,Middle East,85.9,30.32,42.01,27.47,2.14,82.9,1,0,0
Hellbender Salamander,Central Asia,82.41,39.07,19.53,20.78,1.92,89.13,0,1,1
Iberian Lynx,Europe,82.33,51.37,54.72,11.26,2.94,54.1,0,0,1
Hellbender Salamander,Oceania,64.78,20.48,28.28,32.82,1.68,49.12,0,1,0
Black Rhino,Europe,69.89,46.07,41.67,67.58,2.27,73.06,0,1,1
California Condor,Sub-Saharan Africa,44.79,45.27,9.86,20.27,2.09,75.08,0,0,0
Axolotl,Europe,75.26,46.07,27.02,37.38,2.7,73.4,1,1,0
Bengal Tiger,East Asia,97.17,42.84,91.3,28.08,2.14,84.85,1,1,1
Amur Leopard,Europe,78.14,37.05,13.08,43.76,2.21,74.17,1,0,0
Giant Panda,East Asia,93.49,26.31,8.19,26.21,2.18,95.79,1,0,1
California Condor,Southeast Asia,35.47,51.88,32.39,17.89,1.63,41.42,1,1,0
Orangutan,Oceania,52.91,46.1,24.24,21.19,1.7,75.6,1,1,0
Hawksbill Turtle,Middle East,79.88,32.12,9.84,65.82,1.9,86.4,1,0,0
Pangolin,North America,56.06,50.81,20.79,30.83,2.34,97.21,1,1,1
Amur Leopard,Middle East,87.99,46.17,10.26,30.07,2.08,75.49,1,0,1
African Elephant,South America,86.15,44.01,14.59,64.43,1.93,71.9,1,1,1
Asian Elephant,Southeast Asia,79.59,21.96,7.8,72.59,2.48,67.41,0,0,1
Sumatran Tiger,Sub-Saharan Africa,67.62,58.88,43.37,2.76,1.31,94.1,1,1,0
Sea Otter,East Asia,62.79,33.97,22.78,8.53,1.55,78.96,0,0,0
Iberian Lynx,Oceania,66.09,50.82,5.12,52.08,1.13,62.92,0,0,0
Amur Leopard,Central Asia,85.48,39.49,54.94,31.91,2.42,77.4,1,0,1
Pangolin,South Asia,29.61,44.95,22.63,72.77,1.97,95.03,1,0,0
Pangolin,Middle East,56.83,64.98,8.13,6.34,2.34,86.0,1,0,1
Mountain Gorilla,Sub-Saharan Africa,45.32,56.91,47.13,35.39,1.96,63.72,1,1,1
African Elephant,Europe,65.56,64.69,76.85,45.37,2.36,78.78,1,1,0
Blue Whale,Sub-Saharan Africa,58.39,54.3,26.5,23.36,1.96,62.32,0,0,1
Saola,Southeast Asia,76.26,55.15,42.45,50.03,2.14,82.31,0,1,1
Mountain Gorilla,East Asia,61.57,26.85,34.92,52.78,2.09,93.6,0,0,0
African Elephant,Central Asia,66.43,45.87,28.66,28.34,2.12,78.79,0,0,0
Sumatran Tiger,Europe,89.77,47.08,32.53,26.88,2.59,76.66,1,1,0
Vaquita,Sub-Saharan Africa,88.44,65.91,11.42,56.37,1.43,93.69,0,1,1
Axolotl,Middle East,70.63,43.42,76.66,34.9,1.98,82.98,1,0,0
Pangolin,South Asia,47.45,53.44,6.28,43.19,2.07,74.36,1,1,1
Sea Otter,Europe,74.36,52.93,11.68,34.77,2.02,83.51,0,0,1
Sea Otter,Middle East,64.78,65.05,33.39,33.49,1.86,24.03,0,0,0
Orangutan,South Asia,76.32,48.26,23.0,26.83,1.81,92.17,0,0,1
Sumatran Tiger,Middle East,74.11,60.76,64.58,45.23,2.54,62.12,0,0,0
Vaquita,Middle East,68.47,27.84,10.75,15.07,1.98,92.42,1,0,0
Asian Elephant,Middle East,93.92,29.02,14.33,6.68,2.85,94.06,1,1,1
Amur Leopard,Southeast Asia,42.61,20.32,9.02,30.03,2.18,78.29,1,0,0
African Elephant,Oceania,74.48,60.22,53.95,73.51,1.9,78.06,0,0,1
Galapagos Penguin,Middle East,73.39,58.76,9.9,34.94,2.19,66.12,0,0,0
Snow Leopard,Europe,67.64,61.66,50.43,24.96,2.04,75.75,0,1,1
Galapagos Penguin,North America,73.94,41.19,38.14,22.5,2.47,60.85,0,1,1
Bengal Tiger,Sub-Saharan Africa,69.62,42.67,19.27,21.33,1.59,73.97,1,1,0
Hawksbill Turtle,East Asia,82.47,48.43,16.56,1.25,1.37,80.16,0,0,1
Iberian Lynx,Southeast Asia,75.12,68.77,25.32,66.79,2.13,85.49,0,1,1
California Condor,North America,87.93,72.02,36.07,19.61,2.29,59.82,0,0,1
Amur Leopard,Southeast Asia,77.94,60.32,46.85,30.45,2.1,57.4,1,1,0
Giant Panda,South America,90.93,54.3,44.59,23.81,2.24,55.43,1,1,0
Hawksbill Turtle,Southeast Asia,67.61,67.36,12.94,16.97,2.18,86.62,1,1,0
Whooping Crane,Southeast Asia,69.08,46.67,61.07,69.1,1.48,91.86,0,0,0
Sea Otter,East Asia,79.35,44.92,18.57,11.74,2.1,76.97,0,1,1
African Elephant,South Asia,67.97,48.32,45.09,46.34,2.46,87.24,1,1,1
Vaquita,South Asia,63.85,37.28,19.93,7.77,2.06,89.92,0,1,0
Blue Whale,East Asia,67.75,47.72,38.55,27.01,1.54,76.45,0,1,0
Mountain Gorilla,Oceania,80.28,35.47,58.76,62.71,1.88,85.73,1,1,0
Sumatran Tiger,Central Asia,87.51,63.33,35.08,20.62,2.19,94.3,0,1,1
Iberian Lynx,Sub-Saharan Africa,59.98,57.07,64.24,43.49,2.63,88.21,1,1,1
